Stations_ID; Mess_Datum; Qualitaets_Niveau; Struktur_Version; WINDGESCHWINDIGKEIT;WINDRICHTUNG;eor
  4642;2013120600;   7;  61;  10.0; 260;eor
  4642;2013120601;   7;  61;  11.0; 270;eor
  4642;2013120602;   7;  61;  10.1; 260;eor
  4642;2013120603;   7;  61;  10.1; 260;eor
  4642;2013120604;   7;  61;  10.8; 260;eor
  4642;2013120605;   7;  61;  11.6; 260;eor
  4642;2013120606;   7;  61;  12.0; 260;eor
  4642;2013120607;   7;  61;  11.2; 270;eor
  4642;2013120608;   7;  61;   9.6; 280;eor
  4642;2013120609;   7;  61;   9.0; 280;eor
  4642;2013120610;   7;  61;  10.5; 270;eor
  4642;2013120611;   7;  61;  10.6; 270;eor
  4642;2013120612;   7;  61;   8.3; 280;eor
  4642;2013120613;   7;  61;   8.9; 270;eor
  4642;2013120614;   7;  61;  10.1; 270;eor
  4642;2013120615;   7;  61;   9.5; 270;eor
  4642;2013120616;   7;  61;   9.3; 280;eor
  4642;2013120617;   7;  61;   9.8; 280;eor
  4642;2013120618;   7;  61;   8.5; 280;eor
  4642;2013120619;   7;  61;   8.2; 270;eor
  4642;2013120620;   7;  61;   9.2; 280;eor
  4642;2013120621;   7;  61;   7.5; 280;eor
  4642;2013120622;   7;  61;   7.6; 280;eor
  4642;2013120623;   7;  61;   8.2; 280;eor
  4642;2013120700;   7;  61;   8.6; 280;eor
  4642;2013120701;   7;  61;   9.1; 280;eor
  4642;2013120702;   7;  61;   8.7; 270;eor
  4642;2013120703;   7;  61;   7.5; 270;eor
  4642;2013120704;   7;  61;   7.4; 270;eor
  4642;2013120705;   7;  61;   7.5; 270;eor
  4642;2013120706;   7;  61;   7.1; 270;eor
  4642;2013120707;   7;  61;   7.1; 260;eor
  4642;2013120708;   7;  61;   7.9; 270;eor
  4642;2013120709;   7;  61;   7.3; 270;eor
  4642;2013120710;   7;  61;   7.5; 270;eor
  4642;2013120711;   7;  61;   6.3; 270;eor
  4642;2013120712;   7;  61;   6.1; 260;eor
  4642;2013120713;   7;  61;   5.4; 260;eor
  4642;2013120714;   7;  61;   5.1; 260;eor
  4642;2013120715;   7;  61;   4.8; 260;eor
  4642;2013120716;   7;  61;   4.4; 260;eor
  4642;2013120717;   7;  61;   5.1; 270;eor
  4642;2013120718;   7;  61;   3.9; 290;eor
  4642;2013120719;   7;  61;   3.8; 250;eor
  4642;2013120720;   7;  61;   3.5; 250;eor
  4642;2013120721;   7;  61;   2.6; 250;eor
  4642;2013120722;   7;  61;   2.1; 250;eor
  4642;2013120723;   7;  61;   1.9; 240;eor
  4642;2013120800;   7;  61;   2.2; 230;eor
  4642;2013120801;   7;  61;   1.0; 210;eor
  4642;2013120802;   7;  61;   1.3; 190;eor
  4642;2013120803;   7;  61;   1.9; 150;eor
  4642;2013120804;   7;  61;   2.5; 160;eor
  4642;2013120805;   7;  61;   2.8; 150;eor
  4642;2013120806;   7;  61;   3.9; 160;eor
  4642;2013120807;   7;  61;   3.2; 160;eor
  4642;2013120808;   7;  61;   2.4; 170;eor
  4642;2013120809;   7;  61;   3.7; 220;eor
  4642;2013120810;   7;  61;   4.3; 240;eor
  4642;2013120811;   7;  61;   4.0; 240;eor
  4642;2013120812;   7;  61;   4.0; 230;eor
  4642;2013120813;   7;  61;   5.5; 240;eor
  4642;2013120814;   7;  61;   5.5; 240;eor
  4642;2013120815;   7;  61;   5.8; 240;eor
  4642;2013120816;   7;  61;   5.5; 240;eor
