"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
"2014-10-23 13:35:00",0,21.61,63.54,21.64,63.87,0,0
"2014-10-23 13:36:00",1,21.64,63.55,21.66,63.87,0,0
"2014-10-23 13:37:00",2,21.64,63.58,21.66,63.9,0,0
"2014-10-23 13:38:00",3,21.7,63.53,21.69,63.84,0,0
"2014-10-23 13:42:00",4,21.76,63.63,21.76,64.02,0,0
"2014-10-23 13:43:00",5,21.78,63.66,21.78,64.05,0,0
"2014-10-23 13:44:00",6,21.79,63.63,21.79,63.99,0,0
"2014-10-23 13:45:00",7,21.81,63.64,21.81,63.99,0,0
"2014-10-23 13:47:00",8,21.82,63.7,21.81,64.06,0,0
"2014-10-23 13:48:00",9,21.83,63.7,21.84,64.03,0,0
"2014-10-23 13:49:00",10,21.83,63.7,21.83,64.09,0,0
"2014-10-23 13:50:00",11,21.85,63.67,21.86,64.03,0,0
"2014-10-23 13:51:00",12,21.85,63.67,21.83,64.03,0,0
"2014-10-23 13:52:00",13,21.85,63.74,21.86,64.13,0,0
"2014-10-23 13:53:00",14,21.86,63.77,21.88,64.16,0,0
"2014-10-23 13:54:00",15,21.85,63.74,21.86,64.13,0,0
"2014-10-23 13:55:00",16,21.85,63.8,21.87,64.16,0,0
"2014-10-23 13:56:00",17,21.86,63.83,21.89,64.23,0,0
"2014-10-23 13:57:00",18,21.91,64.63,21.92,64.96,0,0
"2014-10-23 13:58:00",19,21.98,63.98,21.99,64.37,0,0
"2014-10-23 13:59:00",20,21.95,63.19,21.97,63.48,0,0
"2014-10-23 14:00:00",21,21.91,63.34,21.95,63.6,0,0
"2014-10-23 14:01:00",22,21.89,63.37,21.91,63.72,0,0
"2014-10-23 14:02:00",23,21.87,63.52,21.9,63.85,0,0
"2014-10-23 14:03:00",24,21.87,63.62,21.87,63.94,0,0
"2014-10-23 14:04:00",25,21.87,63.58,21.88,63.91,0,0
"2014-10-23 14:05:00",26,21.89,63.52,21.89,63.88,0,0
"2014-10-23 14:06:00",27,21.87,63.58,21.91,63.94,0,0
"2014-10-23 14:07:00",28,21.9,63.59,21.92,63.95,0,0
"2014-10-23 14:08:00",29,21.91,63.72,21.92,64.07,0,0
"2014-10-23 14:09:00",30,21.92,63.72,21.92,64.07,0,0
"2014-10-23 14:10:00",31,21.92,63.72,21.93,64.11,0,0
"2014-10-23 14:11:00",32,21.93,63.85,21.94,64.17,0,0
"2014-10-23 14:12:00",33,21.95,63.82,21.98,64.15,0,0
"2014-10-23 14:13:00",34,21.97,63.89,21.95,64.21,0,0
