"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 16:37:00,6,7.66,90,7.72,95.15,0,0.674
2014-11-11 16:38:00,7,7.669,90,7.69,95.43,0,0.674
2014-11-11 16:39:00,8,7.619,90,7.68,95.62,0,0.674
2014-11-11 16:40:00,9,7.639,90,7.68,95.91,0,0.674
2014-11-11 16:41:00,10,7.741,90.1,7.79,96.29,0,0.674
2014-11-11 16:42:00,11,7.801,90.2,7.83,96.58,0,0.674
2014-11-11 16:43:00,12,7.79,90.2,7.83,96.77,0,0.337
2014-11-11 16:44:00,13,7.811,90.2,7.87,96.87,0,0.337
2014-11-11 16:45:00,14,7.821,90.2,7.89,96.96,0,0.337
2014-11-11 16:46:00,15,7.79,90.2,7.85,96.96,0,0.337
2014-11-11 16:47:00,16,7.761,90.2,7.79,96.87,0,0.337
2014-11-11 16:50:00,17,7.619,90.2,7.8,96.87,0,0.337
2014-11-11 16:51:00,18,7.619,90.2,7.74,96.77,0,0
2014-11-11 16:52:00,19,7.619,90.2,7.7,96.68,0,0
2014-11-11 16:53:00,20,7.619,90.3,7.62,96.48,0,0
2014-11-11 16:54:00,21,7.579,90.3,7.56,96.29,0,0
2014-11-11 16:55:00,22,7.519,90.2,7.54,96.29,0,0
2014-11-11 16:56:00,23,7.5,90.3,7.48,96.39,0,0
2014-11-11 16:57:00,24,7.529,90.3,7.44,96.58,0,0
2014-11-11 16:58:00,25,7.619,90.4,7.46,96.87,0,0
2014-11-11 16:59:00,26,7.649,90.4,7.46,97.06,0,0
2014-11-11 17:00:00,27,7.699,90.5,7.52,97.34,0,0
2014-11-11 17:01:00,28,7.709,90.5,7.54,97.53,0,0
2014-11-11 17:02:00,29,7.699,90.5,7.5,97.63,0,0
2014-11-11 17:03:00,30,7.649,90.5,7.38,97.63,0,0
2014-11-11 17:04:00,31,7.589,90.4,7.34,97.63,0,0
2014-11-11 17:05:00,32,7.679,90.5,7.42,97.73,0,0
2014-11-11 17:06:00,33,7.72,90.5,7.53,97.92,0,0
2014-11-11 17:07:00,34,7.709,90.5,7.52,97.92,0,0
2014-11-11 17:08:00,35,7.709,90.5,7.51,98.01,0,0
2014-11-11 17:09:00,36,7.679,90.5,7.49,98.01,0,0
2014-11-11 17:10:00,37,7.72,90.6,7.48,98.11,0,0
2014-11-11 17:11:00,38,7.689,90.6,7.49,98.11,0,0
2014-11-11 17:12:00,39,7.699,90.6,7.43,98.11,0,0
2014-11-11 17:13:00,40,7.72,90.6,7.4,98.11,0,0
