"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-10-23 11:36:00",0,0.01,302.6,68.7
"2014-10-23 11:37:00",1,0.017,40.08,69.12
"2014-10-23 11:38:00",2,0.02,330.8,67.05
"2014-10-23 11:39:00",3,0.023,342.9,65.98
"2014-10-23 11:40:00",4,0.023,333.3,0
"2014-10-23 13:41:00",5,"NAN",0,0
"2014-11-11 16:37:00",6,0.558,127.4,0
"2014-11-11 16:38:00",7,0.343,29.76,0
"2014-11-11 16:39:00",8,0.247,327.7,0
"2014-11-11 16:40:00",9,0.236,60.71,0
"2014-11-11 16:41:00",10,0.929,62.84,43.02
"2014-11-11 16:42:00",11,0.68,102,22.13
"2014-11-11 16:43:00",12,0.277,331.9,0
"2014-11-11 16:44:00",13,1.062,81.3,0
"2014-11-11 16:45:00",14,0.563,10.42,62.29
"2014-11-11 16:46:00",15,0.517,5.372,34.59
"2014-11-11 16:47:00",16,0.415,347.9,49.98
"2014-11-11 16:50:00",17,0.479,54.07,0
"2014-11-11 16:51:00",18,0.353,28.04,0
"2014-11-11 16:52:00",19,0.495,56.81,0
"2014-11-11 16:53:00",20,0.318,60.24,79.22
"2014-11-11 16:54:00",21,0.236,46.79,93.7
"2014-11-11 16:55:00",22,0.159,351.8,60.76
"2014-11-11 16:56:00",23,0.194,108.7,0
"2014-11-11 16:57:00",24,0.607,87.9,0
"2014-11-11 16:58:00",25,0.981,74.38,50.45
"2014-11-11 16:59:00",26,0.563,101.1,68.81
"2014-11-11 17:00:00",27,0.914,86.9,0
"2014-11-11 17:01:00",28,0.77,89.2,0
"2014-11-11 17:02:00",29,0.554,78.49,0
"2014-11-11 17:03:00",30,0.307,288.1,81.1
"2014-11-11 17:04:00",31,0.458,42.36,67.63
"2014-11-11 17:05:00",32,0.922,41.88,0
"2014-11-11 17:06:00",33,0.973,19.53,0
"2014-11-11 17:07:00",34,0.668,2.058,18.92
"2014-11-11 17:08:00",35,0.578,51.8,60.42
"2014-11-11 17:09:00",36,0.566,343.8,0
"2014-11-11 17:10:00",37,1.327,69.8,0
"2014-11-11 17:11:00",38,0.983,22.73,19.73
"2014-11-11 17:12:00",39,0.471,354.2,48.2
"2014-11-11 17:13:00",40,0.685,69.76,85.3
"2014-11-11 17:14:00",41,0.906,68.8,0
"2014-11-11 17:15:00",42,0.699,63.84,0
"2014-11-11 17:16:00",43,0.634,21.64,0
"2014-11-11 17:17:00",44,0.74,18.39,54.9
"2014-11-11 17:18:00",45,0.647,70.83,37.23
"2014-11-11 17:19:00",46,0.73,32.68,0
"2014-11-11 17:20:00",47,0.966,65.03,0
"2014-11-11 17:21:00",48,1.349,38.51,30.28
"2014-11-11 17:22:00",49,1.415,48.8,23.14
"2014-11-11 17:23:00",50,0.935,64.45,35.49
"2014-11-11 17:24:00",51,0.7,38.55,0
"2014-11-11 17:25:00",52,1.579,73.59,0
"2014-11-11 17:26:00",53,1.344,99.1,23.03
"2014-11-11 17:27:00",54,0.67,28.21,75.78
"2014-11-11 17:28:00",55,0.694,114.9,43.13
"2014-11-11 17:29:00",56,0.725,15.64,0
"2014-11-11 17:30:00",57,1.075,52.87,0
"2014-11-11 17:31:00",58,0.579,349,0
"2014-11-11 17:32:00",59,0.799,37.92,35.77
"2014-11-11 17:33:00",60,0.921,53.9,78.93
"2014-11-11 17:34:00",61,1.598,71.99,0
"2014-11-11 17:35:00",62,0.574,77.28,0
"2014-11-11 17:36:00",63,0.467,294.1,0
"2014-11-11 17:37:00",64,0.688,120.2,52.91
"2014-11-11 17:38:00",65,1.387,61,38.3
"2014-11-11 17:39:00",66,0.924,27.26,0
"2014-11-11 17:40:00",67,0.313,328,0
"2014-11-11 17:41:00",68,0.58,84.7,0
"2014-11-11 17:42:00",69,0.675,5.362,71.38
"2014-11-11 17:43:00",70,0.339,180,77.42
"2014-11-11 17:44:00",71,0.692,68.17,49.38
"2014-11-11 17:45:00",72,1.085,59.49,0
"2014-11-11 17:46:00",73,1.266,39.15,0
"2014-11-11 17:47:00",74,0.969,81.8,55.13
"2014-11-11 17:48:00",75,0.996,77.74,19.25
"2014-11-11 17:49:00",76,1.94,44.53,0
"2014-11-11 17:50:00",77,0.781,16.98,0
"2014-11-11 17:51:00",78,1.121,75.23,0
"2014-11-11 17:52:00",79,1.582,70.2,17.82
"2014-11-11 17:53:00",80,1.385,69.91,32.24
"2014-11-11 17:54:00",81,0.572,42.86,0
"2014-11-11 17:55:00",82,0.79,33.61,0
"2014-11-11 17:56:00",83,0.948,64.21,0
"2014-11-11 17:57:00",84,0.605,131.9,58.92
"2014-11-11 17:58:00",85,0.607,5.629,101.3
"2014-11-11 17:59:00",86,1.072,22.95,0
"2014-11-11 18:00:00",87,0.976,31.61,0
"2014-11-11 18:01:00",88,0.619,85.4,0
"2014-11-11 18:02:00",89,0.529,76.5,0
"2014-11-11 18:03:00",90,0.142,45.31,76.02
"2014-11-11 18:04:00",91,0.296,79.68,75.51
"2014-11-11 18:05:00",92,0.88,73.61,0
"2014-11-11 18:06:00",93,0.739,38.46,0
"2014-11-11 18:07:00",94,0.598,30.99,0
"2014-11-11 18:08:00",95,0.703,325.8,55.36
"2014-11-11 18:09:00",96,0.435,359.4,33.14
"2014-11-11 18:10:00",97,0.291,315.1,49.31
"2014-11-11 18:11:00",98,0.881,42.37,0
"2014-11-11 18:12:00",99,0.425,31.76,0
"2014-11-11 18:13:00",100,0.58,335.5,24.91
"2014-11-11 18:14:00",101,0.26,329.9,25.91
"2014-11-11 18:15:00",102,0.183,2.675,46.22
"2014-11-11 18:16:00",103,0.221,295.9,0
"2014-11-11 18:17:00",104,0.35,334.2,0
"2014-11-11 18:18:00",105,0.201,326.3,0
"2014-11-11 18:19:00",106,0.388,331.5,0
"2014-11-11 18:20:00",107,0.749,40.27,22.53
"2014-11-11 18:21:00",108,0.521,53.97,47.52
"2014-11-11 18:22:00",109,0.388,40.72,0
"2014-11-11 18:23:00",110,0.258,56.01,0
"2014-11-11 18:24:00",111,0.391,30.05,64
"2014-11-11 18:25:00",112,0.406,9.3,51.29
"2014-11-11 18:26:00",113,0.407,323.6,84.2
"2014-11-11 18:27:00",114,0.381,279.9,0
"2014-11-11 18:28:00",115,0.326,340.8,0
"2014-11-11 18:29:00",116,0.394,226.5,0
"2014-11-11 18:30:00",117,0.379,227,80.3
"2014-11-11 18:31:00",118,0.503,298.2,12.62
"2014-11-11 18:32:00",119,0.7,321,41.69
"2014-11-11 18:33:00",120,0.581,337.8,0
"2014-11-11 18:34:00",121,0.542,328.4,0
"2014-11-11 18:35:00",122,0.566,327.9,13.38
"2014-11-11 18:36:00",123,0.355,1.294,50.03
"2014-11-11 18:37:00",124,0.538,315,17.45
"2014-11-11 18:38:00",125,0.628,322.4,0
"2014-11-11 18:39:00",126,0.658,333.9,0
