"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-10-23 13:35:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:36:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:37:00",2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:38:00",3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:42:00",4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:43:00",5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:44:00",6,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:45:00",7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-10-23 13:47:00",8,0.014,-0.027,-0.009,26.21,0,0,0,0,0,0,0,0,0,0.002,52,0
"2014-10-23 13:48:00",9,0.013,-0.026,0.002,26.18,0,0,0,0,0,0,0,0,0,0.004,300,-1
"2014-10-23 13:49:00",10,0.015,-0.017,0.003,26.18,0,0,0,0,0,0,0,0,0,0.002,300,-1
"2014-10-23 13:50:00",11,0.008,-0.034,-0.003,26.2,0,0,0,0,0,0,0,0,0,0.001,300,-1
"2014-10-23 13:51:00",12,0.013,-0.02,-0.007,26.16,0,0,0,0,0,0,0,0,0,0.002,301,0
"2014-10-23 13:52:00",13,0.017,-0.014,0.003,26.16,0,0,0,0,0,0,0,0,0,0.003,300,0
"2014-10-23 13:53:00",14,0.011,-0.033,-0.004,26.21,0,0,0,0,0,0,0,0,0,0.002,300,-1
"2014-10-23 13:54:00",15,0.011,-0.029,0.007,26.2,0,0,0,0,0,0,0,0,0,0.003,300,-1
"2014-10-23 13:55:00",16,0.015,-0.026,0.004,26.19,0,0,0,0,0,0,0,0,0,0.002,301,0
"2014-10-23 13:56:00",17,0.016,-0.034,0.007,26.2,0,0,0,0,0,0,0,0,0,0.004,300,0
"2014-10-23 13:57:00",18,0.007,-0.029,0.002,26.23,0,0,0,0,0.001,0,0,0,0,0.005,300,0
"2014-10-23 13:58:00",19,0.017,-0.018,-0.001,26.25,0,0,0,0,0,0,0,0,0,0.002,300,-1
"2014-10-23 13:59:00",20,0.002,0.011,-0.001,26.09,0,0,0,0.001,0,0,0,0,-0.001,0.014,300,-1
"2014-10-23 14:00:00",21,0.007,-0.012,-0.008,26,0,0,0,0,0,0,-0.001,0,0,0.011,301,0
"2014-10-23 14:01:00",22,0.006,0.003,0.001,25.95,0,0,0,0,0,0,0,0,-0.001,0.003,300,0
"2014-10-23 14:02:00",23,-0.005,-0.001,-0.013,26,0,0,0,0,0.001,0,-0.001,0,0,0.004,300,-1
"2014-10-23 14:03:00",24,-0.001,-0.023,-0.003,26.01,0,0,0,0,0,0,0,0,0,0.003,299,-1
"2014-10-23 14:04:00",25,0.007,-0.014,-0.004,26.05,0.001,0,0,0,0,0,0,0,0,0.002,301,0
"2014-10-23 14:05:00",26,0.021,-0.003,-0.001,26.05,0,0,0,0,0,0,0,0,0,0.001,300,0
"2014-10-23 14:06:00",27,0.012,-0.037,-0.004,26.14,0,0,0,0,0,0,0,0,0,0.004,300,-1
"2014-10-23 14:07:00",28,0.003,-0.033,-0.009,26.14,0,0,0,0,0,0,-0.001,0,0,0.004,300,-1
"2014-10-23 14:08:00",29,0.015,-0.031,0.006,26.16,0,0,0,0,0,0,0,0,0,0.002,301,0
"2014-10-23 14:09:00",30,0.016,-0.028,0.004,26.14,0,0,0,0,0,0,0,0,0,0.003,300,0
"2014-10-23 14:10:00",31,0.015,-0.02,0.009,26.1,0,0,0,0,0,0,0,0,0,0.003,300,0
"2014-10-23 14:11:00",32,0.018,-0.03,0.007,26.13,0,0,0,0,0,0,-0.001,0,-0.001,0.004,300,-1
"2014-10-23 14:12:00",33,0.015,-0.037,0.004,26.18,0,0,0,0,0,0,0,0,0,0.003,300,-1
"2014-10-23 14:13:00",34,0.011,-0.031,0.005,26.13,0,0,0,0,0,0,0,0,0,0.002,300,-1
"2014-10-23 14:14:00",35,0.008,-0.024,-0.002,26.17,0,0,0,0,0,0,0,0,0,0.001,301,0
"2014-10-23 14:15:00",36,0.008,-0.031,-0.002,26.18,0,0,0,0,0,0,0,0,0,0.002,300,0
"2014-10-23 14:54:00",37,-0.014,-0.032,0.002,25.9,0,0,0,0,0,0,0,0,0,0.002,146,0
"2014-11-11 16:56:00",38,-0.885,-0.021,-0.007,15,0.067,-0.009,0.004,-0.003,0.168,0.021,0.018,0.055,-0.01,0.049,275,0
"2014-11-11 16:57:00",39,-0.719,0.016,-0.031,15.27,0.118,0.121,0.009,0.011,0.254,0.009,0.015,0.029,-0.006,0.012,300,0
"2014-11-11 16:59:00",40,-0.786,-0.508,-0.042,15.26,0.173,-0.1,-0.013,-0.001,0.344,-0.01,-0.004,0.067,-0.006,0.026,151,-1
"2014-11-11 17:00:00",41,-1.081,-0.384,-0.088,15.21,0.152,0.052,0.029,0,0.24,0.019,-0.001,0.1,-0.006,0.011,300,-1
"2014-11-11 17:01:00",42,-0.935,-0.04,-0.126,15.09,0.056,-0.017,0.005,-0.019,0.185,-0.025,0.027,0.048,-0.018,0.023,301,0
"2014-11-11 17:02:00",43,-1.076,0.238,-0.22,15.25,0.096,0.058,-0.021,0.012,0.265,-0.052,0.035,0.084,-0.018,0.019,300,0
"2014-11-11 17:03:00",44,-1.178,-0.179,-0.066,15.26,0.11,-0.055,0.02,0,0.238,-0.043,0.018,0.076,-0.017,0.014,300,-1
"2014-11-11 17:04:00",45,-0.667,-0.406,-0.035,15.15,0.242,-0.02,0.019,0.004,0.146,-0.014,0.019,0.05,-0.017,0.017,300,-1
"2014-11-11 17:05:00",46,-0.558,-0.349,-0.028,15.02,0.067,0.005,0.015,-0.008,0.072,-0.006,-0.007,0.113,-0.063,0.058,300,-1
"2014-11-11 17:06:00",47,-0.989,-0.529,-0.156,15.22,0.089,-0.008,-0.022,0.046,0.431,-0.027,0.012,0.063,-0.025,0.05,301,0
"2014-11-11 17:07:00",48,-1.588,0.174,-0.236,15.34,0.578,-0.081,0.063,-0.131,0.168,-0.007,0.01,0.087,-0.027,0.058,300,0
"2014-11-11 17:08:00",49,-1.454,-0.557,0.07,15.12,0.31,-0.168,0.039,-0.034,0.634,-0.118,0.082,0.102,-0.008,0.048,300,-1
"2014-11-11 17:09:00",50,-1.299,-0.345,-0.083,15.09,0.304,-0.169,0.02,-0.067,0.21,-0.013,0.047,0.073,-0.005,0.049,300,-1
